"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"cw",0.983333333333333,0.0160492308588396,1,3,TRUE,900000014,"primary",0.9,0,0.175915012837006,0.147261060919064,0.150400857937816,0.153202869983578,0.107790947499124,-0.00913002210578925,1.014
"gini",0.666666666666667,0.0236871029251879,1,3,TRUE,900000014,"primary",0.9,0,0.175915012837006,0.147261060919064,0.150400857937816,0.153202869983578,0.107790947499124,-0.00913002210578925,1.014
"oracle",0,-0.284669279683314,NA,NA,NA,900000014,"primary",0.9,0,0.175915012837006,0.147261060919064,0.150400857937816,0.153202869983578,0.107790947499124,-0.00913002210578925,1.014
"over",0.983333333333333,0.0188947102300241,1,3,TRUE,900000014,"primary",0.9,0,0.175915012837006,0.147261060919064,0.150400857937816,0.153202869983578,0.107790947499124,-0.00913002210578925,1.014
"raw",0.666666666666667,0.028653951917942,1,3,TRUE,900000014,"primary",0.9,0,0.175915012837006,0.147261060919064,0.150400857937816,0.153202869983578,0.107790947499124,-0.00913002210578925,1.014
"cw",1,0.0163599017537647,0.792079207920792,3,FALSE,900000015,"primary",0.6,0,0.18664827748234,0.177571960563042,0.177848081406221,0.159281327356674,0.114784604147734,0.0096275809738101,1.089
"gini",0.516666666666667,0.00277122324703916,0.56957928802589,3,FALSE,900000015,"primary",0.6,0,0.18664827748234,0.177571960563042,0.177848081406221,0.159281327356674,0.114784604147734,0.0096275809738101,1.089
"oracle",0.0166666666666667,-0.324299923676572,NA,NA,NA,900000015,"primary",0.6,0,0.18664827748234,0.177571960563042,0.177848081406221,0.159281327356674,0.114784604147734,0.0096275809738101,1.089
"over",1,0.0201580600637239,0.792079207920792,3,FALSE,900000015,"primary",0.6,0,0.18664827748234,0.177571960563042,0.177848081406221,0.159281327356674,0.114784604147734,0.0096275809738101,1.089
"raw",0.516666666666667,0.00907631691929731,0.56957928802589,3,FALSE,900000015,"primary",0.6,0,0.18664827748234,0.177571960563042,0.177848081406221,0.159281327356674,0.114784604147734,0.0096275809738101,1.089
"cw",1,0.0164141552518635,1,3,TRUE,900000016,"primary",0.9,0,0.194554813293017,0.174555581657261,0.186382406191198,0.151722961577735,0.108989758380385,0.00511856287839909,1.063
"gini",0.616666666666667,0.00980668642618465,1,3,TRUE,900000016,"primary",0.9,0,0.194554813293017,0.174555581657261,0.186382406191198,0.151722961577735,0.108989758380385,0.00511856287839909,1.063
"oracle",0,-0.442882138050711,NA,NA,NA,900000016,"primary",0.9,0,0.194554813293017,0.174555581657261,0.186382406191198,0.151722961577735,0.108989758380385,0.00511856287839909,1.063
"over",1,0.0202410945682725,1,3,TRUE,900000016,"primary",0.9,0,0.194554813293017,0.174555581657261,0.186382406191198,0.151722961577735,0.108989758380385,0.00511856287839909,1.063
"raw",0.633333333333333,0.0199992316357555,1,3,TRUE,900000016,"primary",0.9,0,0.194554813293017,0.174555581657261,0.186382406191198,0.151722961577735,0.108989758380385,0.00511856287839909,1.063
"cw",1,0.0149951067616683,1,3,TRUE,900000017,"primary",0.9,0,0.175077970873685,0.136286958884873,0.185181730579581,0.170861592333987,0.0956389519910214,-0.0374573255289835,0.305
"gini",0.566666666666667,0.0298628829125377,1,3,TRUE,900000017,"primary",0.9,0,0.175077970873685,0.136286958884873,0.185181730579581,0.170861592333987,0.0956389519910214,-0.0374573255289835,0.305
"oracle",0,-0.352664485232026,NA,NA,NA,900000017,"primary",0.9,0,0.175077970873685,0.136286958884873,0.185181730579581,0.170861592333987,0.0956389519910214,-0.0374573255289835,0.305
"over",1,0.0182885017738836,1,3,TRUE,900000017,"primary",0.9,0,0.175077970873685,0.136286958884873,0.185181730579581,0.170861592333987,0.0956389519910214,-0.0374573255289835,0.305
"raw",0.583333333333333,0.0387910119888114,1,3,TRUE,900000017,"primary",0.9,0,0.175077970873685,0.136286958884873,0.185181730579581,0.170861592333987,0.0956389519910214,-0.0374573255289835,0.305
"cw",1,0.0229033338954866,1,3,TRUE,900000018,"primary",0.9,0,0.217703327659645,0.10508559776481,0.186872436083594,0.145906134760364,0.131358541119456,-0.0155206105245669,0.23
"gini",0.9,0.0874340123235094,1,3,TRUE,900000018,"primary",0.9,0,0.217703327659645,0.10508559776481,0.186872436083594,0.145906134760364,0.131358541119456,-0.0155206105245669,0.23
"oracle",0,-0.352471156360324,NA,NA,NA,900000018,"primary",0.9,0,0.217703327659645,0.10508559776481,0.186872436083594,0.145906134760364,0.131358541119456,-0.0155206105245669,0.23
"over",1,0.028254624424041,1,3,TRUE,900000018,"primary",0.9,0,0.217703327659645,0.10508559776481,0.186872436083594,0.145906134760364,0.131358541119456,-0.0155206105245669,0.23
"raw",0.916666666666667,0.112617729894835,1,3,TRUE,900000018,"primary",0.9,0,0.217703327659645,0.10508559776481,0.186872436083594,0.145906134760364,0.131358541119456,-0.0155206105245669,0.23
"cw",1,0.0172473043195455,1,3,TRUE,900000019,"primary",0.9,0,0.185112720439696,0.167631052707017,0.157472151680901,0.174130076660495,0.115849659966264,-0.00600096858258122,0.267
"gini",0.566666666666667,0.0153781530497256,1,3,TRUE,900000019,"primary",0.9,0,0.185112720439696,0.167631052707017,0.157472151680901,0.174130076660495,0.115849659966264,-0.00600096858258122,0.267
"oracle",0,-0.357220586763587,NA,NA,NA,900000019,"primary",0.9,0,0.185112720439696,0.167631052707017,0.157472151680901,0.174130076660495,0.115849659966264,-0.00600096858258122,0.267
"over",1,0.0206030836388252,1,3,TRUE,900000019,"primary",0.9,0,0.185112720439696,0.167631052707017,0.157472151680901,0.174130076660495,0.115849659966264,-0.00600096858258122,0.267
"raw",0.6,0.017481667732679,1,3,TRUE,900000019,"primary",0.9,0,0.185112720439696,0.167631052707017,0.157472151680901,0.174130076660495,0.115849659966264,-0.00600096858258122,0.267
"cw",1,0.0126838618696258,1,3,TRUE,900000020,"primary",0.8,0,0.161165818669512,0.161094814403236,0.154268792944978,0.158996645660631,0.0982546858803134,-0.00211414769239892,0.228
"gini",0.483333333333333,0.00108735433566176,1,3,TRUE,900000020,"primary",0.8,0,0.161165818669512,0.161094814403236,0.154268792944978,0.158996645660631,0.0982546858803134,-0.00211414769239892,0.228
"oracle",0.0166666666666667,-0.306016150463217,NA,NA,NA,900000020,"primary",0.8,0,0.161165818669512,0.161094814403236,0.154268792944978,0.158996645660631,0.0982546858803134,-0.00211414769239892,0.228
"over",1,0.015031009687277,1,3,TRUE,900000020,"primary",0.8,0,0.161165818669512,0.161094814403236,0.154268792944978,0.158996645660631,0.0982546858803134,-0.00211414769239892,0.228
"raw",0.483333333333333,7.10042662762367e-05,1,3,TRUE,900000020,"primary",0.8,0,0.161165818669512,0.161094814403236,0.154268792944978,0.158996645660631,0.0982546858803134,-0.00211414769239892,0.228
