"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
8,9,0.286720779343289,0.177068014164711,0.098229173170167,0.286720779343289,0.235951700325215,0.0281643450855972,0.0231773404310409,0.286720779343479,900000008
8,10,0.242851106806925,0.174225458845475,0.104858876859632,0.242851106806925,0.200540261292357,0.0254650943038926,0.0210284265642536,0.242851106806806,900000008
9,10,0.201080811069912,0.0392326545863968,0.117012357645214,0.201080811069912,0.193191877065254,0.0235289397805023,0.0226058370133097,0.201080811069915,900000008
11,12,0.19960127703045,0.141805006533923,0.0974235687443328,0.19960127703045,0.171296816636967,0.0194458687342326,0.016688347191317,0.606654761218549,900000008
11,13,0.120284678741587,0.115850917890778,0.0879074957758859,0.120284678741587,0.106349588301177,0.0105739248883799,0.00934892598435293,0.471439347640132,900000008
11,14,0.163685994734192,0.135437902060096,0.0907353929589799,0.163685994734192,0.141516707010773,0.0148521130540884,0.0128405740208833,0.491231172782183,900000008
11,15,0.219364758675711,0.144820405719532,0.101417797846996,0.219364758675711,0.187596265323727,0.0222474907501282,0.0190256001134531,0.618329981617484,900000008
12,13,0.150615866160467,0.155970377205403,0.1046022796957,0.150615866160467,0.127124252702301,0.0157547629587273,0.0132974866372729,0.670933088723947,900000008
12,14,0.0936782226719922,0.16014398840531,0.119548649265053,0.0936782226719922,0.0786762184665786,0.0111991049859875,0.00940563564696168,0.552355783321823,900000008
12,15,0.291753620022307,0.156667231149412,0.117865606271194,0.291753620022307,0.246045388195594,0.0343877173057449,0.0290002888499051,0.64570571123632,900000008
13,14,0.174983807275423,0.145206279811358,0.10419852786628,0.174983807275423,0.149575059593731,0.0182330551185359,0.0155855010151779,0.546786369759953,900000008
13,15,0.267252479707591,0.151234331030954,0.119826204969968,0.267252479707591,0.22683472972265,0.0320238504121739,0.0271807448180534,0.63620367704296,900000008
14,15,0.159037669797525,0.192603623296405,0.151586682216932,0.159037669797525,0.128406438353904,0.0241079927121187,0.0194647059653613,0.609324676173632,900000008
1,6,0.196277740878705,0.182422042548364,-0.0158653825256589,0.196277740878705,0.160472354480833,0,0,0.864823468418381,900000008
2,7,0.235088611013867,0.135262494302904,-0.0291378030763886,0.235088611013867,0.203289939105926,0,0,0.81195432051177,900000008
3,8,0.167137044720148,0.191196545562835,-0.0413079586875037,0.167137044720148,0.135181019134075,0,0,0.869152047873369,900000008
4,9,0.223000679351264,0.0671380983416612,-0.0273347507353852,0.223000679351264,0.208028837810722,0,0,0.968243503183976,900000008
5,10,0.161997958275293,0.153667838192822,-0.0234038156181831,0.161997958275293,0.137104082235478,0,0,0.88971455452506,900000008
6,11,0.160262056562073,0.195574068615703,-0.0144103194587448,0.160262056562073,0.128918954115508,0,0,0.73814569177479,900000008
1,2,0.181318055331902,0.155349060035729,0.110125871767219,0.181318055331902,0.153150465868584,0.0199678089105625,0.0168658285653336,0.181318055331949,900000009
1,3,0.267667838104931,0.0758749846720264,0.0986184807801446,0.267667838104931,0.247358544991525,0.026396995547614,0.0243941239150512,0.267667838104744,900000009
1,4,0.235835300140062,0.0712613998719365,0.0940666980153342,0.235835300140062,0.219029346512863,0.0221842479596309,0.0206033673949215,0.235835300140053,900000009
1,5,0.093355615928026,0.150591397849462,0.112491798498721,0.093355615928026,0.079297063228327,0.0105017411356995,0.00892026925822133,0.0933556159279953,900000009
2,3,0.145866465706555,0.144049995515523,0.120695337200593,0.145866465706555,0.124854401975661,0.0176054022647114,0.0150693441474308,0.145866465705694,900000009
2,4,0.414168569869681,0.161613232873442,0.122205601373665,0.414168569869681,0.347233448338472,0.0506137191509952,0.0424338723712544,0.414168569869409,900000009
2,5,0.267693978953436,0.215573451848116,0.109726029583791,0.267693978953436,0.209986263871487,0.0293729974540475,0.0230409590017525,0.267693978953422,900000009
3,4,0.18995768631074,0.0482270344749214,0.115373862896651,0.18995768631074,0.180796590424256,0.0219161520565803,0.02085920103579,0.18995768631045,900000009
3,5,0.31112035845893,0.132418689739831,0.0917001716144707,0.31112035845893,0.269922208240412,0.0285297902634395,0.0247519128182027,0.311120358458923,900000009
4,5,0.209597022489233,0.149013543561755,0.125608510231029,0.209597022489233,0.178364227448119,0.0263271697437319,0.0224040648882666,0.209597022489053,900000009
6,7,0.219454739283895,0.164130781499203,0.0930609953904141,0.219454739283895,0.183435461421526,0.0204226764809031,0.0170706866297871,0.219454739283618,900000009
6,8,0.209037611284363,0.22898953052728,0.0984755125873093,0.209037611284363,0.161170186813812,0.0205850859212543,0.0158713167602826,0.209037611284053,900000009
6,9,0.107089537157453,0.165972866528454,0.0845055082928839,0.107089537157453,0.0893155797002247,0.0090496557703402,0.00754765846104107,0.107089537157858,900000009
6,10,0.169920071192505,0.183888666298682,0.107850517913327,0.169920071192505,0.138673695923538,0.0183259676819811,0.0149560299263088,0.169920071192492,900000009
7,8,0.249806605857783,0.148006607587159,0.126211681756525,0.249806605857783,0.21283357757191,0.0315285118392,0.0268620837596085,0.249806605857731,900000009
7,9,0.243086536269938,0.078985681889828,0.124668972864971,0.243086536269938,0.223886180444421,0.0303053487940767,0.0279116601546675,0.243086536269978,900000009
7,10,0.226698312955239,0.0788785835444574,0.129051978805124,0.226698312955239,0.208816671137412,0.029255865878657,0.0269482046177819,0.226698312955235,900000009
8,9,0.283170040277585,0.145213459133913,0.0991882673825879,0.283170040277585,0.242049939205787,0.0280871456697913,0.0240085140898828,0.283170040277596,900000009
8,10,0.329427160690229,0.174353500168462,0.116124937817415,0.329427160690229,0.271990382173329,0.0382547085505203,0.0315848662168127,0.329427160690352,900000009
9,10,0.281438984658342,0.0752768643631518,0.113544787249301,0.281438984658342,0.260253140383713,0.0319559296366908,0.0295503874558312,0.281438984658322,900000009
11,12,0.143076830402494,0.181709823697109,0.0807911125908402,0.143076830402494,0.117078364774916,0.0115593363141884,0.00945889135048165,0.553635807102824,900000009
11,13,0.122728492528793,0.162443352299966,0.0726896360541576,0.122728492528793,0.102792064779695,0.00892108945539337,0.00747191777809139,0.459460029350508,900000009
11,14,0.0459088180341783,0.157729656650673,0.0783282456716394,0.0459088180341783,0.0386676359284092,0.00359595717747571,0.00302876808654194,0.383427269039853,900000009
11,15,0.0936154752526552,0.178628267072339,0.0701518096256218,0.0936154752526552,0.07689310513712,0.00656729499793637,0.00539419047310216,0.311790127172316,900000009
12,13,0.237350318735039,0.212535247108976,0.0910542556831258,0.237350318735039,0.186905010091293,0.0216117566085717,0.0170184965773098,0.520821731528535,900000009
12,14,0.205301343770634,0.180658656556043,0.0951358610135293,0.205301343770634,0.168211878815881,0.0195315201068539,0.0160029819238523,0.581894259858129,900000009
